model,cv_accuracy,cv_f1,cv_roc_auc,cv_precision,cv_recall,cv_accuracy_std,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fit_time
XGBoost,0.8329065300896288,0.7693636725791592,0.8911908663436877,0.8225762645091915,0.7253872053872052,0.022445614547269826,0.017759416261480025,0.8044692737430168,0.7833333333333333,0.6811594202898551,0.7286821705426356,0.837878787878788,0.72
LightGBM,0.8300797793755541,0.7743578442282226,0.8863341223098276,0.7927099767109909,0.7584511784511785,0.036503466686094777,0.01986814924226704,0.8100558659217877,0.7611940298507462,0.7391304347826086,0.75,0.8272068511198947,1.27
Gradient Boosting,0.8272825765783512,0.7686904495884936,0.8849035812672177,0.7937473963944551,0.7474747474747474,0.022985890724499976,0.018107006201219574,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8336627140974966,0.9
Random Forest,0.8273219738008469,0.7777858229842121,0.8811295953263037,0.7752944318268804,0.7841077441077442,0.02989033998171652,0.02199044115373923,0.8100558659217877,0.7397260273972602,0.782608695652174,0.7605633802816901,0.8470355731225296,0.91
Logistic Regression,0.8118191667487441,0.7677036632039366,0.8732540662634707,0.7359398496240601,0.8059932659932659,0.03147913271466512,0.01621148023397753,0.7988826815642458,0.7037037037037037,0.8260869565217391,0.76,0.8466403162055336,0.04
